StartPoint,EndPoint,Distance,net_length
99,100,9.99999999928,210.00000000022
100,101,10.0000000015,0.0
101,102,9.99999999983,0.0
102,103,9.9999999991,0.0
103,104,10.0000000009,0.0
104,105,9.99999999899,0.0
105,106,10.0000000008,0.0
106,107,10.0000000014,0.0
107,108,9.99999999806,0.0
108,109,10.0000000001,0.0
109,110,10.0000000006,0.0
110,111,9.99999999868,0.0
111,112,10.0000000005,0.0
112,113,9.99999999858,0.0
113,114,10.000000002,0.0
114,115,9.99999999983,0.0
115,116,10.0000000003,0.0
116,117,9.99999999993,0.0
117,118,9.99999999941,0.0
118,119,9.99999999983,0.0
119,120,10.0000000006,0.0
99,100,9.99999999928,0.0
99,101,20.00000000078,0.0
99,102,30.00000000061,0.0
99,103,39.99999999971,0.0
99,104,50.00000000061,0.0
99,105,59.9999999996,0.0
99,106,70.00000000040001,0.0
99,107,80.0000000018,0.0
99,108,89.99999999986001,0.0
99,109,99.99999999996001,0.0
99,110,110.00000000056001,0.0
99,111,119.99999999924,0.0
99,112,129.99999999974,0.0
99,113,139.99999999832,0.0
99,114,150.00000000032,0.0
99,115,160.00000000015,0.0
99,116,170.00000000045,0.0
99,117,180.00000000038,0.0
99,118,189.99999999979,0.0
99,119,199.99999999962,0.0
99,120,210.00000000022,0.0
100,101,10.0000000015,0.0
100,102,20.00000000133,0.0
100,103,30.00000000043,0.0
100,104,40.00000000133,0.0
100,105,50.00000000032,0.0
100,106,60.00000000112,0.0
100,107,70.00000000252,0.0
100,108,80.00000000058,0.0
100,109,90.00000000068,0.0
100,110,100.00000000128,0.0
100,111,109.99999999996,0.0
100,112,120.00000000045999,0.0
100,113,129.99999999904,0.0
100,114,140.00000000104,0.0
100,115,150.00000000087002,0.0
100,116,160.00000000117,0.0
100,117,170.0000000011,0.0
100,118,180.00000000051,0.0
100,119,190.00000000034,0.0
100,120,200.00000000094002,0.0
101,100,10.0000000015,0.0
101,102,9.99999999983,0.0
101,103,19.99999999893,0.0
101,104,29.999999999830003,0.0
101,105,39.99999999882,0.0
101,106,49.99999999962,0.0
101,107,60.00000000102,0.0
101,108,69.99999999908,0.0
101,109,79.99999999918,0.0
101,110,89.99999999978,0.0
101,111,99.99999999846,0.0
101,112,109.99999999895999,0.0
101,113,119.99999999753999,0.0
101,114,129.99999999954,0.0
101,115,139.99999999937,0.0
101,116,149.99999999967,0.0
101,117,159.9999999996,0.0
101,118,169.99999999901,0.0
101,119,179.99999999884,0.0
101,120,189.99999999944,0.0
102,100,20.00000000133,0.0
102,101,9.99999999983,0.0
102,103,9.9999999991,0.0
102,104,20.0,0.0
102,105,29.99999999899,0.0
102,106,39.99999999979,0.0
102,107,50.00000000119,0.0
102,108,59.99999999925,0.0
102,109,69.99999999935,0.0
102,110,79.99999999994999,0.0
102,111,89.99999999862999,0.0
102,112,99.99999999912998,0.0
102,113,109.99999999770998,0.0
102,114,119.99999999970998,0.0
102,115,129.99999999954,0.0
102,116,139.99999999983999,0.0
102,117,149.99999999976998,0.0
102,118,159.99999999917998,0.0
102,119,169.99999999901,0.0
102,120,179.99999999961,0.0
103,100,30.00000000043,0.0
103,101,19.99999999893,0.0
103,102,9.9999999991,0.0
103,104,10.0000000009,0.0
103,105,19.99999999989,0.0
103,106,30.00000000069,0.0
103,107,40.000000002090005,0.0
103,108,50.00000000015,0.0
103,109,60.000000000250004,0.0
103,110,70.00000000085001,0.0
103,111,79.99999999953,0.0
103,112,90.00000000003,0.0
103,113,99.99999999861,0.0
103,114,110.00000000060999,0.0
103,115,120.00000000043998,0.0
103,116,130.00000000074,0.0
103,117,140.00000000066998,0.0
103,118,150.00000000007998,0.0
103,119,159.99999999991,0.0
103,120,170.00000000051,0.0
104,100,40.00000000133,0.0
104,101,29.999999999830003,0.0
104,102,20.0,0.0
104,103,10.0000000009,0.0
104,105,9.99999999899,0.0
104,106,19.99999999979,0.0
104,107,30.00000000119,0.0
104,108,39.99999999925,0.0
104,109,49.99999999935,0.0
104,110,59.999999999950006,0.0
104,111,69.99999999863,0.0
104,112,79.99999999913,0.0
104,113,89.99999999770999,0.0
104,114,99.99999999970998,0.0
104,115,109.99999999953998,0.0
104,116,119.99999999983999,0.0
104,117,129.99999999976998,0.0
104,118,139.99999999917998,0.0
104,119,149.99999999901,0.0
104,120,159.99999999961,0.0
105,100,50.00000000032,0.0
105,101,39.99999999882,0.0
105,102,29.99999999899,0.0
105,103,19.99999999989,0.0
105,104,9.99999999899,0.0
105,106,10.0000000008,0.0
105,107,20.0000000022,0.0
105,108,30.000000000260002,0.0
105,109,40.000000000360004,0.0
105,110,50.00000000096,0.0
105,111,59.999999999639996,0.0
105,112,70.00000000013999,0.0
105,113,79.99999999871999,0.0
105,114,90.00000000071998,0.0
105,115,100.00000000054997,0.0
105,116,110.00000000084998,0.0
105,117,120.00000000077998,0.0
105,118,130.00000000018997,0.0
105,119,140.00000000001998,0.0
105,120,150.00000000062,0.0
106,100,60.00000000112,0.0
106,101,49.99999999962,0.0
106,102,39.99999999979,0.0
106,103,30.00000000069,0.0
106,104,19.99999999979,0.0
106,105,10.0000000008,0.0
106,107,10.0000000014,0.0
106,108,19.99999999946,0.0
106,109,29.999999999560004,0.0
106,110,40.00000000016,0.0
106,111,49.999999998839996,0.0
106,112,59.99999999934,0.0
106,113,69.99999999792,0.0
106,114,79.99999999991999,0.0
106,115,89.99999999974999,0.0
106,116,100.00000000005,0.0
106,117,109.99999999997999,0.0
106,118,119.99999999938998,0.0
106,119,129.99999999922,0.0
106,120,139.99999999982,0.0
107,100,70.00000000252001,0.0
107,101,60.000000001020005,0.0
107,102,50.00000000119,0.0
107,103,40.000000002090005,0.0
107,104,30.000000001190003,0.0
107,105,20.0000000022,0.0
107,106,10.0000000014,0.0
107,108,9.99999999806,0.0
107,109,19.99999999816,0.0
107,110,29.99999999876,0.0
107,111,39.99999999744,0.0
107,112,49.99999999794,0.0
107,113,59.99999999652,0.0
107,114,69.99999999852,0.0
107,115,79.99999999834999,0.0
107,116,89.99999999865,0.0
107,117,99.99999999858,0.0
107,118,109.99999999798999,0.0
107,119,119.99999999781998,0.0
107,120,129.99999999841998,0.0
108,100,80.00000000058,0.0
108,101,69.99999999908,0.0
108,102,59.99999999925,0.0
108,103,50.00000000015,0.0
108,104,39.99999999925,0.0
108,105,30.000000000260002,0.0
108,106,19.99999999946,0.0
108,107,9.99999999806,0.0
108,109,10.0000000001,0.0
108,110,20.0000000007,0.0
108,111,29.999999999379998,0.0
108,112,39.999999999879996,0.0
108,113,49.99999999846,0.0
108,114,60.00000000046,0.0
108,115,70.00000000029,0.0
108,116,80.00000000059,0.0
108,117,90.00000000052,0.0
108,118,99.99999999993,0.0
108,119,109.99999999975999,0.0
108,120,120.00000000035999,0.0
109,100,90.00000000068,0.0
109,101,79.99999999918,0.0
109,102,69.99999999935001,0.0
109,103,60.000000000250004,0.0
109,104,49.99999999935,0.0
109,105,40.000000000360004,0.0
109,106,29.99999999956,0.0
109,107,19.99999999816,0.0
109,108,10.0000000001,0.0
109,110,10.0000000006,0.0
109,111,19.99999999928,0.0
109,112,29.99999999978,0.0
109,113,39.99999999836,0.0
109,114,50.000000000360004,0.0
109,115,60.000000000190006,0.0
109,116,70.00000000049,0.0
109,117,80.00000000042,0.0
109,118,89.99999999983001,0.0
109,119,99.99999999966,0.0
109,120,110.00000000026,0.0
110,100,100.00000000127999,0.0
110,101,89.99999999977999,0.0
110,102,79.99999999994999,0.0
110,103,70.00000000085,0.0
110,104,59.99999999995,0.0
110,105,50.00000000096,0.0
110,106,40.00000000016,0.0
110,107,29.999999998759996,0.0
110,108,20.0000000007,0.0
110,109,10.0000000006,0.0
110,111,9.99999999868,0.0
110,112,19.999999999179998,0.0
110,113,29.99999999776,0.0
110,114,39.99999999976,0.0
110,115,49.99999999959,0.0
110,116,59.99999999989,0.0
110,117,69.99999999982,0.0
110,118,79.99999999923,0.0
110,119,89.99999999906,0.0
110,120,99.99999999965999,0.0
111,100,109.99999999996,0.0
111,101,99.99999999846,0.0
111,102,89.99999999863,0.0
111,103,79.99999999953,0.0
111,104,69.99999999863,0.0
111,105,59.999999999639996,0.0
111,106,49.999999998839996,0.0
111,107,39.99999999744,0.0
111,108,29.99999999938,0.0
111,109,19.99999999928,0.0
111,110,9.99999999868,0.0
111,112,10.0000000005,0.0
111,113,19.99999999908,0.0
111,114,30.00000000108,0.0
111,115,40.00000000091,0.0
111,116,50.00000000121,0.0
111,117,60.000000001139995,0.0
111,118,70.00000000054999,0.0
111,119,80.00000000037998,0.0
111,120,90.00000000097998,0.0
112,100,120.00000000045999,0.0
112,101,109.99999999895999,0.0
112,102,99.99999999913,0.0
112,103,90.00000000003,0.0
112,104,79.99999999913,0.0
112,105,70.00000000013999,0.0
112,106,59.99999999933999,0.0
112,107,49.999999997939995,0.0
112,108,39.999999999879996,0.0
112,109,29.999999999779998,0.0
112,110,19.999999999179998,0.0
112,111,10.0000000005,0.0
112,113,9.99999999858,0.0
112,114,20.000000000580002,0.0
112,115,30.000000000410004,0.0
112,116,40.00000000071,0.0
112,117,50.00000000064,0.0
112,118,60.00000000005,0.0
112,119,69.99999999988,0.0
112,120,80.00000000048,0.0
113,100,129.99999999904,0.0
113,101,119.99999999754,0.0
113,102,109.99999999771,0.0
113,103,99.99999999861001,0.0
113,104,89.99999999771,0.0
113,105,79.99999999872,0.0
113,106,69.99999999792,0.0
113,107,59.999999996519996,0.0
113,108,49.99999999846,0.0
113,109,39.999999998359996,0.0
113,110,29.99999999776,0.0
113,111,19.99999999908,0.0
113,112,9.99999999858,0.0
113,114,10.000000002,0.0
113,115,20.000000001830003,0.0
113,116,30.00000000213,0.0
113,117,40.000000002060005,0.0
113,118,50.000000001470006,0.0
113,119,60.00000000130001,0.0
113,120,70.0000000019,0.0
114,100,140.00000000104004,0.0
114,101,129.99999999954002,0.0
114,102,119.99999999971001,0.0
114,103,110.00000000061002,0.0
114,104,99.99999999971001,0.0
114,105,90.00000000072001,0.0
114,106,79.99999999992,0.0
114,107,69.99999999852001,0.0
114,108,60.000000000460005,0.0
114,109,50.000000000360004,0.0
114,110,39.99999999976001,0.0
114,111,30.000000001080004,0.0
114,112,20.000000000580002,0.0
114,113,10.000000002,0.0
114,115,9.99999999983,0.0
114,116,20.00000000013,0.0
114,117,30.000000000060002,0.0
114,118,39.999999999470006,0.0
114,119,49.99999999930001,0.0
114,120,59.99999999990001,0.0
115,100,150.00000000087005,0.0
115,101,139.99999999937003,0.0
115,102,129.99999999954002,0.0
115,103,120.00000000044001,0.0
115,104,109.99999999954001,0.0
115,105,100.00000000055,0.0
115,106,89.99999999975,0.0
115,107,79.99999999835,0.0
115,108,70.00000000029,0.0
115,109,60.00000000019,0.0
115,110,49.99999999959,0.0
115,111,40.000000000910006,0.0
115,112,30.000000000410004,0.0
115,113,20.000000001830003,0.0
115,114,9.99999999983,0.0
115,116,10.0000000003,0.0
115,117,20.000000000230003,0.0
115,118,29.999999999640004,0.0
115,119,39.999999999470006,0.0
115,120,50.00000000007,0.0
116,100,160.00000000117004,0.0
116,101,149.99999999967002,0.0
116,102,139.99999999984,0.0
116,103,130.00000000074002,0.0
116,104,119.99999999984001,0.0
116,105,110.00000000085001,0.0
116,106,100.00000000005001,0.0
116,107,89.99999999865001,0.0
116,108,80.00000000059,0.0
116,109,70.00000000049,0.0
116,110,59.99999999989001,0.0
116,111,50.000000001210005,0.0
116,112,40.00000000071,0.0
116,113,30.00000000213,0.0
116,114,20.00000000013,0.0
116,115,10.0000000003,0.0
116,117,9.99999999993,0.0
116,118,19.99999999934,0.0
116,119,29.99999999917,0.0
116,120,39.99999999977,0.0
117,100,170.00000000110003,0.0
117,101,159.99999999960002,0.0
117,102,149.99999999977,0.0
117,103,140.00000000067,0.0
117,104,129.99999999977,0.0
117,105,120.00000000078,0.0
117,106,109.99999999998,0.0
117,107,99.99999999858001,0.0
117,108,90.00000000052,0.0
117,109,80.00000000042,0.0
117,110,69.99999999982,0.0
117,111,60.00000000114001,0.0
117,112,50.00000000064001,0.0
117,113,40.000000002060005,0.0
117,114,30.000000000060005,0.0
117,115,20.000000000230003,0.0
117,116,9.99999999993,0.0
117,118,9.99999999941,0.0
117,119,19.999999999240003,0.0
117,120,29.999999999840004,0.0
118,100,180.00000000051003,0.0
118,101,169.99999999901002,0.0
118,102,159.99999999918,0.0
118,103,150.00000000008,0.0
118,104,139.99999999918,0.0
118,105,130.00000000019,0.0
118,106,119.99999999939,0.0
118,107,109.99999999799,0.0
118,108,99.99999999993,0.0
118,109,89.99999999983,0.0
118,110,79.99999999923,0.0
118,111,70.00000000055,0.0
118,112,60.00000000005001,0.0
118,113,50.000000001470006,0.0
118,114,39.999999999470006,0.0
118,115,29.999999999640004,0.0
118,116,19.99999999934,0.0
118,117,9.99999999941,0.0
118,119,9.99999999983,0.0
118,120,20.00000000043,0.0
119,100,190.00000000034004,0.0
119,101,179.99999999884002,0.0
119,102,169.99999999901002,0.0
119,103,159.99999999991002,0.0
119,104,149.99999999901002,0.0
119,105,140.00000000002,0.0
119,106,129.99999999922,0.0
119,107,119.99999999782,0.0
119,108,109.99999999975999,0.0
119,109,99.99999999965999,0.0
119,110,89.99999999906,0.0
119,111,80.00000000038,0.0
119,112,69.99999999988,0.0
119,113,60.00000000130001,0.0
119,114,49.99999999930001,0.0
119,115,39.999999999470006,0.0
119,116,29.999999999170004,0.0
119,117,19.999999999240003,0.0
119,118,9.99999999983,0.0
119,120,10.0000000006,0.0
